NtAcceptConnectPort	0x0000
NtAccessCheck	0x0001
NtAccessCheckAndAuditAlarm	0x0002
NtAccessCheckByType	0x0003
NtAccessCheckByTypeAndAuditAlarm	0x0004
NtAccessCheckByTypeResultList	0x0005
NtAccessCheckByTypeResultListAndAuditAlarm	0x0006
NtAccessCheckByTypeResultListAndAuditAlarmByHandle	0x0007
NtAcquireCMFViewOwnership	
NtAcquireProcessActivityReference	
NtAddAtom	0x0008
NtAddAtomEx	
NtAddBootEntry	0x0009
NtAddDriverEntry	0x000a
NtAdjustGroupsToken	0x000b
NtAdjustPrivilegesToken	0x000c
NtAdjustTokenClaimsAndDeviceGroups	
NtAlertResumeThread	0x000d
NtAlertThread	0x000e
NtAlertThreadByThreadId	
NtAllocateLocallyUniqueId	0x000f
NtAllocateReserveObject	0x0010
NtAllocateUserPhysicalPages	0x0011
NtAllocateUuids	0x0012
NtAllocateVirtualMemory	0x0013
NtAllocateVirtualMemoryEx	
NtAlpcAcceptConnectPort	0x0014
NtAlpcCancelMessage	0x0015
NtAlpcConnectPort	0x0016
NtAlpcConnectPortEx	
NtAlpcCreatePort	0x0017
NtAlpcCreatePortSection	0x0018
NtAlpcCreateResourceReserve	0x0019
NtAlpcCreateSectionView	0x001a
NtAlpcCreateSecurityContext	0x001b
NtAlpcDeletePortSection	0x001c
NtAlpcDeleteResourceReserve	0x001d
NtAlpcDeleteSectionView	0x001e
NtAlpcDeleteSecurityContext	0x001f
NtAlpcDisconnectPort	0x0020
NtAlpcImpersonateClientContainerOfPort	
NtAlpcImpersonateClientOfPort	0x0021
NtAlpcOpenSenderProcess	0x0022
NtAlpcOpenSenderThread	0x0023
NtAlpcQueryInformation	0x0024
NtAlpcQueryInformationMessage	0x0025
NtAlpcRevokeSecurityContext	0x0026
NtAlpcSendWaitReceivePort	0x0027
NtAlpcSetInformation	0x0028
NtApphelpCacheControl	0x0029
NtAreMappedFilesTheSame	0x002a
NtAssignProcessToJobObject	0x002b
NtAssociateWaitCompletionPacket	
NtCallEnclave	
NtCallbackReturn	0x002c
NtCancelDeviceWakeupRequest	
NtCancelIoFile	0x002d
NtCancelIoFileEx	0x002e
NtCancelSynchronousIoFile	0x002f
NtCancelTimer	0x0030
NtCancelTimer2	
NtCancelWaitCompletionPacket	
NtClearAllSavepointsTransaction	
NtClearEvent	0x0031
NtClearSavepointTransaction	
NtClose	0x0032
NtCloseObjectAuditAlarm	0x0033
NtCommitComplete	0x0034
NtCommitEnlistment	0x0035
NtCommitRegistryTransaction	
NtCommitTransaction	0x0036
NtCompactKeys	0x0037
NtCompareObjects	
